 18:17 21.4
2014-02-06 18:32 20.3
2014-03-13 18:47 19.5
2014-04-17 19:02 18.8
2014-05-22 19:17 18.1
2014-06-26 19:32 17.4
2014-07-31 19:47 16.6
2014-09-04 20:02 15.7
2014-10-10 20:17 14.9
2014-11-14 20:32 14.3
2014-12-19 20:47 13.6
2015-01-19 21:02 11.5
2015-02-16 21:17 11.1
2015-03-16 21:32 10.5
2015-04-13 21:47 10.1
2015-05-11 22:02 9.7
2015-06-08 22:17 9.3
2015-07-06 22:32 8.8
2015-08-03 22:47 8.4
2015-08-31 23:02 8.1
2015-09-28 23:17 7.7
2015-10-25 23:32 7.2
2015-11-23 23:47 6.7
2015-12-21 0:02  6.2
